"id","parent1","parent2"
"ND13219C-4",NA,NA
"NDTX12135-1W",NA,NA
"ND13217C-1",NA,NA
"ND13220C-3",NA,NA
"ND13221C-3",NA,NA
"NDAF14477C-2",NA,NA
"NDAF14477C-7",NA,NA
"NDTX14362AB-1W",NA,NA
"NDOR13317CB-2",NA,NA
"B40568",NA,NA
"B24642",NA,NA
"Katahdin","B40568","B24642"
"Wauseon","Katahdin","B5149-8"
"B1268-46","Katahdin","Katahdin"
"Chippewa","B40568","B24642"
"B1299-15","Chippewa","Chippewa"
"Monona","B1268-46","B1299-15"
"Cherokee",NA,NA
"B3672-3","Cherokee","MenomineeXchc"
"Earlaine","IrishCobbler","USDA43055"
"DeltaGold","USDA45208","Earlaine"
"Lenape","B3672-3","DeltaGold"
"B6503-2","Monona","Lenape"
"CS7232-4","Wauseon","B6503-2"
"AF1668-60","CS7232-4",NA
"Tollocan","Juanita","58-ER-1"
"Sebago","Chippewa","Katahdin"
"Minn.92.36-5",NA,NA
"ND457-1","Sebago","Minn.92.36-5"
"Chaleur","Belleisle","ND457-1"
"JacquelineLee","Tollocan","Chaleur"
"EB8109-1",NA,NA
"AF2376-5","JacquelineLee","EB8109-1"
"AF5392-8","AF1668-60","AF2376-5"
"Atlantic","Wauseon","Lenape"
"B127","Chippewa","Katahdin"
"USDA3895-13",NA,NA
"USDA96-56","USDA3895-13","Earlaine"
"Kennebec","B127","USDA96-56"
"6HS-9","Kennebec","Pennchip"
"NYQ155-3","NYK349-7","6HS-9"
"Marcy","Atlantic","NYQ155-3"
"NYM297-17","NYF278-20","Wauseon"
"USDA96-140","USDA3895-13","Earlaine"
"B81-40","USDA245-52","USDA96-140"
"B962-32","B81-40","USDA245-186"
"WisAg231","Minn113.43-1","B962-32"
"WisChip","W55.306.58","WisAg231"
"Allegany","NYM297-17","WisChip"
"Pike","Allegany","Atlantic"
"B6595-5","Wauseon","Lenape"
"Saranac","President","Katahdin"
"B355-24","USDA96-56","Saranac"
