id,loc,env,Yield.Mg.ha
A01143-3C,CA,CA_2011,90.98
A01143-3C,CA,CA_2011,95.12
AC00206-2W,CA,CA_2011,74.44
AC01151-5W,CA,CA_2011,74.44
AC01151-5W,CA,CA_2011,95.12
AC03452-2W,CA,CA_2011,86.85
AC05153-1W,CA,CA_2011,49.63
Accumulator,CA,CA_2011,90.98
Accumulator,CA,CA_2011,119.93
AF4157-6,CA,CA_2011,53.76
AF4157-6,CA,CA_2011,70.31
AF4442-4,CA,CA_2011,62.03
AF4552-5,CA,CA_2011,86.85
AF4573-2,CA,CA_2011,66.17
AF4640-1,CA,CA_2011,78.58
AF4648-2,CA,CA_2011,66.17
Atlantic,CA,CA_2011,62.03
Atlantic,CA,CA_2011,62.03
CO00270-7W,CA,CA_2011,78.58
CO00270-7W,CA,CA_2011,78.58
CO02024-9W,CA,CA_2011,70.31
CO02024-9W,CA,CA_2011,74.44
CO02033-1W,CA,CA_2011,70.31
CO03243-3W,CA,CA_2011,78.58
CO05061-2P,CA,CA_2011,49.63
CO05061-6W,CA,CA_2011,78.58
Hodag,CA,CA_2011,82.71
Manistee,CA,CA_2011,49.63
MSH228-6,CA,CA_2011,78.58
MSK061-4,CA,CA_2011,37.22
MSK061-4,CA,CA_2011,41.36
MSL007-B,CA,CA_2011,20.68
MSL007-B,CA,CA_2011,24.81
MSM246-B,CA,CA_2011,53.76
MSM246-B,CA,CA_2011,74.44
MSQ035-3,CA,CA_2011,66.17
MSQ086-3,CA,CA_2011,49.63
MSQ089-1,CA,CA_2011,66.17
MSQ089-1,CA,CA_2011,78.58
MSR036-5,CA,CA_2011,49.63
MSR058-1,CA,CA_2011,62.03
MSR058-1,CA,CA_2011,66.17
MSR127-2,CA,CA_2011,82.71
MSR127-2,CA,CA_2011,86.85
MSR128-4Y,CA,CA_2011,62.03
MSR148-4,CA,CA_2011,70.31
MSR148-4,CA,CA_2011,95.12
MSR157-1Y,CA,CA_2011,70.31
MSR169-8Y,CA,CA_2011,45.49
MSR169-8Y,CA,CA_2011,49.63
MSS165-2Y,CA,CA_2011,78.58
MSS165-2Y,CA,CA_2011,82.71
MSS297-3,CA,CA_2011,57.9
ND7799c-1,CA,CA_2011,45.49
ND7799c-1,CA,CA_2011,53.76
NY148,CA,CA_2011,45.49
NY148,CA,CA_2011,62.03
NY152,CA,CA_2011,70.31
NY153,CA,CA_2011,66.17
NY154,CA,CA_2011,62.03
W6609-3,CA,CA_2011,57.9
W8539-2Y,CA,CA_2011,70.31
W8539-2Y,CA,CA_2011,78.58
W8603-1,CA,CA_2011,66.17
W8603-1,CA,CA_2011,74.44
W8615-5,CA,CA_2011,70.31
W8615-5,CA,CA_2011,86.85
W8822-1,CA,CA_2011,70.31
W8832-1Y,CA,CA_2011,74.44
W8848-3,CA,CA_2011,62.03
W8867-5,CA,CA_2011,74.44
W8867-7,CA,CA_2011,33.09
W9632-1,CA,CA_2011,37.22
W9652-1,CA,CA_2011,66.17
A01143-3C,CA,CA_2012,33.09
A01143-3C,CA,CA_2012,45.49
A03440-2C,CA,CA_2012,57.9
A07117-2C,CA,CA_2012,33.09
AC00206-2W,CA,CA_2012,41.36
AC00206-2W,CA,CA_2012,45.49
AC01151-5W,CA,CA_2012,37.22
AC01151-5W,CA,CA_2012,41.36
AC03452-2W,CA,CA_2012,57.9
AC03452-2W,CA,CA_2012,57.9
AC05153-1W,CA,CA_2012,33.09
AC05153-1W,CA,CA_2012,37.22
Accumulator,CA,CA_2012,66.17
Accumulator,CA,CA_2012,74.44
AF4157-6,CA,CA_2012,24.81
AF4157-6,CA,CA_2012,33.09
AF4442-4,CA,CA_2012,37.22
AF4552-5,CA,CA_2012,66.17
AF4573-2,CA,CA_2012,41.36
AF4640-1,CA,CA_2012,45.49
AF4648-2,CA,CA_2012,33.09
AF4648-2,CA,CA_2012,33.09
AF4736-10,CA,CA_2012,53.76
AF4740-1,CA,CA_2012,37.22
AF4747-5,CA,CA_2012,24.81
AF4971-3,CA,CA_2012,62.03
AF4975-3,CA,CA_2012,49.63
Atlantic,CA,CA_2012,41.36
Atlantic,CA,CA_2012,45.49
CO00270-7W,CA,CA_2012,53.76
CO00270-7W,CA,CA_2012,62.03
CO02024-9W,CA,CA_2012,45.49
CO02024-9W,CA,CA_2012,45.49
CO02033-1W,CA,CA_2012,41.36
CO02033-1W,CA,CA_2012,45.49
CO03243-3W,CA,CA_2012,53.76
CO03243-3W,CA,CA_2012,53.76
CO05061-2P,CA,CA_2012,33.09
CO05061-2P,CA,CA_2012,41.36
CO05061-6W,CA,CA_2012,41.36
CO05061-6W,CA,CA_2012,49.63
Manistee,CA,CA_2012,33.09
Manistee,CA,CA_2012,33.09
MegaChip,CA,CA_2012,41.36
MegaChip,CA,CA_2012,49.63
MSH228-6,CA,CA_2012,49.63
MSH228-6,CA,CA_2012,66.17
MSK061-4,CA,CA_2012,28.95
MSK061-4,CA,CA_2012,37.22
MSL007-B,CA,CA_2012,37.22
MSL007-B,CA,CA_2012,37.22
MSM246-B,CA,CA_2012,53.76
MSM246-B,CA,CA_2012,53.76
MSP239-1,CA,CA_2012,37.22
MSP270-1,CA,CA_2012,28.95
MSQ035-3,CA,CA_2012,49.63
MSQ035-3,CA,CA_2012,49.63
MSQ086-3,CA,CA_2012,49.63
MSQ086-3,CA,CA_2012,53.76
MSQ089-1,CA,CA_2012,45.49
MSQ089-1,CA,CA_2012,49.63
MSQ492-2,CA,CA_2012,53.76
MSR036-5,CA,CA_2012,37.22
MSR036-5,CA,CA_2012,45.49
MSR058-1,CA,CA_2012,28.95
MSR058-1,CA,CA_2012,33.09
MSR127-2,CA,CA_2012,28.95
MSR127-2,CA,CA_2012,66.17
MSR128-4Y,CA,CA_2012,24.81
MSR128-4Y,CA,CA_2012,33.09
MSR148-4,CA,CA_2012,49.63
MSR148-4,CA,CA_2012,57.9
MSR157-1Y,CA,CA_2012,33.09
MSR157-1Y,CA,CA_2012,37.22
MSR169-8Y,CA,CA_2012,28.95
MSR169-8Y,CA,CA_2012,41.36
MSS108-1,CA,CA_2012,37.22
MSS165-2Y,CA,CA_2012,37.22
MSS165-2Y,CA,CA_2012,45.49
MSS206-2,CA,CA_2012,41.36
MSS297-3,CA,CA_2012,37.22
MSS297-3,CA,CA_2012,41.36
MSS428-2,CA,CA_2012,37.22
MST096-2Y,CA,CA_2012,57.9
MST184-3,CA,CA_2012,37.22
MST186-1Y,CA,CA_2012,49.63
MST229-1,CA,CA_2012,28.95
MST412-3,CA,CA_2012,45.49
MSW293-1,CA,CA_2012,33.09
NDA081453CAB-2C,CA,CA_2012,45.49
NY148,CA,CA_2012,37.22
NY148,CA,CA_2012,49.63
NY152,CA,CA_2012,49.63
NY152,CA,CA_2012,49.63
NY153,CA,CA_2012,24.81
NY153,CA,CA_2012,24.81
NY154,CA,CA_2012,53.76
NY154,CA,CA_2012,57.9
NY156,CA,CA_2012,20.68
NYJ112-2,CA,CA_2012,28.95
NYJ15-7,CA,CA_2012,41.36
NYJ2-29,CA,CA_2012,49.63
W8539-2Y,CA,CA_2012,37.22
W8539-2Y,CA,CA_2012,49.63
W8615-5,CA,CA_2012,41.36
W8615-5,CA,CA_2012,103.39
W8822-1,CA,CA_2012,45.49
W8822-1,CA,CA_2012,57.9
W8832-1Y,CA,CA_2012,41.36
W8832-1Y,CA,CA_2012,62.03
W8867-5,CA,CA_2012,28.95
W8867-5,CA,CA_2012,28.95
W8867-7,CA,CA_2012,41.36
W8867-7,CA,CA_2012,49.63
W9200-13,CA,CA_2012,49.63
W9252-7,CA,CA_2012,49.63
W9281-14,CA,CA_2012,57.9
W9301-5,CA,CA_2012,53.76
W9304-2,CA,CA_2012,66.17
W9306-1,CA,CA_2012,53.76
A01143-3C,CA,CA_2013,70.31
A01143-3C,CA,CA_2013,95.12
AC00206-2W,CA,CA_2013,33.09
AC00206-2W,CA,CA_2013,45.49
AC03452-2W,CA,CA_2013,45.49
AC03452-2W,CA,CA_2013,57.9
AC05153-1W,CA,CA_2013,24.81
AC05153-1W,CA,CA_2013,28.95
Accumulator,CA,CA_2013,37.22
Accumulator,CA,CA_2013,62.03
AF4157-6,CA,CA_2013,33.09
AF4157-6,CA,CA_2013,33.09
AF4552-5,CA,CA_2013,41.36
AF4552-5,CA,CA_2013,45.49
AF4573-2,CA,CA_2013,62.03
AF4573-2,CA,CA_2013,74.44
AF4648-2,CA,CA_2013,49.63
AF4648-2,CA,CA_2013,57.9
AF4736-10,CA,CA_2013,41.36
AF4740-1,CA,CA_2013,20.68
AF4747-5,CA,CA_2013,41.36
AF4971-3,CA,CA_2013,49.63
AF4975-3,CA,CA_2013,45.49
AF5038-1,CA,CA_2013,41.36
AF5038-6,CA,CA_2013,53.76
AF5040-8,CA,CA_2013,70.31
AF5081-4,CA,CA_2013,62.03
AF5138-2,CA,CA_2013,41.36
AF5142-3,CA,CA_2013,28.95
AF5152-2,CA,CA_2013,49.63
AF5152-3,CA,CA_2013,41.36
AF5320-1,CA,CA_2013,33.09
Atlantic,CA,CA_2013,45.49
Atlantic,CA,CA_2013,53.76
B2842-1,CA,CA_2013,62.03
B2869-15,CA,CA_2013,37.22
B2869-20,CA,CA_2013,24.81
B2869-29,CA,CA_2013,33.09
B2883-11,CA,CA_2013,20.68
B2895-8,CA,CA_2013,20.68
B2904-2,CA,CA_2013,41.36
B2936-2,CA,CA_2013,28.95
B2947-4,CA,CA_2013,20.68
B2947-8,CA,CA_2013,33.09
B2950-2,CA,CA_2013,24.81
B2950-3,CA,CA_2013,49.63
B2960-4,CA,CA_2013,37.22
BNC311-4,CA,CA_2013,28.95
BNC313-3,CA,CA_2013,24.81
BNC317-8,CA,CA_2013,49.63
CO02024-9W,CA,CA_2013,20.68
CO02024-9W,CA,CA_2013,28.95
CO02033-1W,CA,CA_2013,41.36
CO02033-1W,CA,CA_2013,45.49
CO05061-6W,CA,CA_2013,28.95
CO05061-6W,CA,CA_2013,33.09
Hodag,CA,CA_2013,41.36
Hodag,CA,CA_2013,53.76
Manistee,CA,CA_2013,16.54
Manistee,CA,CA_2013,20.68
MSK061-4,CA,CA_2013,37.22
MSK061-4,CA,CA_2013,49.63
MSL007-B,CA,CA_2013,28.95
MSL007-B,CA,CA_2013,28.95
MSM246-B,CA,CA_2013,28.95
MSM246-B,CA,CA_2013,28.95
MSN190-2,CA,CA_2013,28.95
MSN190-2,CA,CA_2013,33.09
